Rotation_X,Rotation_Y,Rotation_Z,current_time,Score,State
-0.1884324,0.7241794,-0.04036219,2025-01-24 14:25:36.219,15,15
-0.1871422,0.7243416,-0.04233289,2025-01-24 14:25:36.232,15,15
-0.1866427,0.7245821,-0.04402173,2025-01-24 14:25:36.246,15,15
-0.1856418,0.7246419,-0.04575359,2025-01-24 14:25:36.259,15,15
-0.1852652,0.7243629,-0.04652657,2025-01-24 14:25:36.274,15,15
-0.1843769,0.7238104,-0.04761753,2025-01-24 14:25:36.287,15,15
-0.1837596,0.723116,-0.04984245,2025-01-24 14:25:36.302,15,15
-0.1835302,0.7228099,-0.0513932,2025-01-24 14:25:36.318,15,15
-0.1838938,0.7224225,-0.05306543,2025-01-24 14:25:36.330,15,15
-0.1841295,0.7222098,-0.05471227,2025-01-24 14:25:36.343,15,15
-0.1836726,0.722173,-0.05676793,2025-01-24 14:25:36.357,15,15
-0.183062,0.722103,-0.05921513,2025-01-24 14:25:36.374,15,15
-0.1814363,0.7231839,-0.06438029,2025-01-24 14:25:36.386,15,15
-0.1800039,0.7252365,-0.06871997,2025-01-24 14:25:36.402,15,15
-0.1807839,0.7272281,-0.07135595,2025-01-24 14:25:36.413,15,15
-0.1809638,0.729266,-0.07330137,2025-01-24 14:25:36.427,15,15
-0.178142,0.7309929,-0.07683837,2025-01-24 14:25:36.440,15,15
-0.1773777,0.7319648,-0.07948278,2025-01-24 14:25:36.455,15,15
-0.1764614,0.7327175,-0.08125766,2025-01-24 14:25:36.467,15,15
-0.174986,0.7337232,-0.08213674,2025-01-24 14:25:36.483,15,15
-0.1734333,0.7336111,-0.0829129,2025-01-24 14:25:36.496,15,15
-0.1734927,0.7336926,-0.08283725,2025-01-24 14:25:36.511,15,15
-0.1707423,0.7335439,-0.08468132,2025-01-24 14:25:36.523,15,15
-0.1686576,0.7335734,-0.0856807,2025-01-24 14:25:36.538,15,15
-0.1690803,0.7338701,-0.08461368,2025-01-24 14:25:36.552,15,15
-0.1691649,0.734041,-0.08311419,2025-01-24 14:25:36.566,15,15
-0.1666209,0.7343116,-0.08431619,2025-01-24 14:25:36.579,15,15
-0.1657186,0.7338598,-0.0848501,2025-01-24 14:25:36.594,15,15
-0.1658638,0.7333772,-0.08428184,2025-01-24 14:25:36.607,15,15
-0.1664087,0.7330915,-0.08242956,2025-01-24 14:25:36.622,15,15
-0.1670934,0.7329773,-0.08146053,2025-01-24 14:25:36.636,15,15
-0.1665129,0.7328406,-0.08179638,2025-01-24 14:25:36.649,15,15
-0.1657629,0.7321818,-0.08270761,2025-01-24 14:25:36.664,15,15
-0.1648337,0.7319391,-0.08242752,2025-01-24 14:25:36.677,15,15
-0.1641487,0.7316452,-0.0823721,2025-01-24 14:25:36.692,15,15
-0.1638617,0.731442,-0.08130495,2025-01-24 14:25:36.705,15,15
-0.1610611,0.7315357,-0.08265501,2025-01-24 14:25:36.732,15,15
-0.1597354,0.7313715,-0.08278823,2025-01-24 14:25:36.747,15,15
-0.1588842,0.7310959,-0.08173054,2025-01-24 14:25:36.760,15,15
-0.1579884,0.7309499,-0.08168025,2025-01-24 14:25:36.775,15,15
-0.1570452,0.7313565,-0.07753579,2025-01-24 14:25:36.787,15,15
-0.1552779,0.7317576,-0.07717218,2025-01-24 14:25:36.802,15,15
-0.153428,0.7319151,-0.07707402,2025-01-24 14:25:36.816,15,15
-0.1521297,0.7321461,-0.07665187,2025-01-24 14:25:36.830,15,15
-0.1506181,0.7322841,-0.07505953,2025-01-24 14:25:36.843,16,16
-0.1494896,0.7325457,-0.073496,2025-01-24 14:25:36.858,16,16
-0.1487968,0.7329608,-0.07104973,2025-01-24 14:25:36.871,16,16
-0.1473852,0.732987,-0.07030494,2025-01-24 14:25:36.885,16,16
-0.14597,0.7329868,-0.06869775,2025-01-24 14:25:36.899,16,16
-0.1446742,0.7330776,-0.06765724,2025-01-24 14:25:36.916,16,16
-0.1422005,0.7330775,-0.06586823,2025-01-24 14:25:36.927,16,16
-0.1403956,0.7334239,-0.06436952,2025-01-24 14:25:36.941,16,16
-0.1367252,0.7335177,-0.06126919,2025-01-24 14:25:36.968,16,16
-0.134386,0.7333453,-0.05978551,2025-01-24 14:25:36.983,16,16
-0.1325596,0.7334006,-0.05921284,2025-01-24 14:25:36.997,16,16
-0.1298235,0.7332507,-0.05841795,2025-01-24 14:25:37.011,16,16
-0.1269123,0.7332029,-0.05706598,2025-01-24 14:25:37.024,16,16
-0.1233047,0.7328005,-0.05552308,2025-01-24 14:25:37.038,16,16
-0.1207414,0.7327571,-0.05313111,2025-01-24 14:25:37.051,16,16
-0.1184846,0.7324674,-0.05188716,2025-01-24 14:25:37.066,16,16
-0.1173617,0.7324707,-0.04991988,2025-01-24 14:25:37.080,16,16
-0.1155106,0.7322835,-0.04830552,2025-01-24 14:25:37.094,16,16
-0.1130475,0.7324854,-0.04765217,2025-01-24 14:25:37.107,16,16
-0.1117462,0.7322265,-0.04690826,2025-01-24 14:25:37.122,16,16
-0.1090097,0.7319573,-0.04617887,2025-01-24 14:25:37.136,16,16
-0.107285,0.7317501,-0.04622959,2025-01-24 14:25:37.149,16,16
-0.1054333,0.731283,-0.04652278,2025-01-24 14:25:37.162,16,16
-0.104659,0.730956,-0.04625942,2025-01-24 14:25:37.177,16,16
-0.1036523,0.7307272,-0.04540659,2025-01-24 14:25:37.191,16,16
-0.104132,0.7305222,-0.04356904,2025-01-24 14:25:37.205,16,16
-0.1039862,0.7299975,-0.04282844,2025-01-24 14:25:37.218,16,16
-0.1024373,0.7289272,-0.04433288,2025-01-24 14:25:37.233,16,16
-0.1032069,0.727641,-0.04521592,2025-01-24 14:25:37.245,16,16
-0.103491,0.7269368,-0.04700938,2025-01-24 14:25:37.260,16,16
-0.1040546,0.7264226,-0.04925637,2025-01-24 14:25:37.274,16,16
-0.1050455,0.7260453,-0.05176406,2025-01-24 14:25:37.287,16,16
-0.1065127,0.7257383,-0.05219087,2025-01-24 14:25:37.302,16,16
-0.1069461,0.7252952,-0.0525327,2025-01-24 14:25:37.315,16,16
-0.1090622,0.7250622,-0.05275042,2025-01-24 14:25:37.329,16,16
-0.1107462,0.7249748,-0.05287209,2025-01-24 14:25:37.343,16,16
-0.1120839,0.7249076,-0.05286992,2025-01-24 14:25:37.357,16,16
-0.11334,0.7252308,-0.05267908,2025-01-24 14:25:37.370,16,16
-0.1140221,0.7252442,-0.05219424,2025-01-24 14:25:37.385,16,16
-0.1143071,0.7254245,-0.05236883,2025-01-24 14:25:37.399,16,16
-0.11491,0.7254347,-0.05270272,2025-01-24 14:25:37.413,16,16
-0.1151495,0.7256904,-0.0522784,2025-01-24 14:25:37.427,16,16
-0.1155261,0.7260502,-0.05171352,2025-01-24 14:25:37.440,16,16
-0.1142859,0.7261435,-0.05233451,2025-01-24 14:25:37.458,16,16
-0.1132316,0.7262558,-0.05251072,2025-01-24 14:25:37.468,16,16
-0.1132367,0.7265739,-0.05247093,2025-01-24 14:25:37.482,16,16
-0.1132151,0.7266045,-0.05241032,2025-01-24 14:25:37.496,16,16
-0.1128186,0.7267569,-0.05268373,2025-01-24 14:25:37.510,16,16
-0.1121299,0.7269701,-0.05333874,2025-01-24 14:25:37.525,16,16
-0.1109044,0.7269612,-0.05470094,2025-01-24 14:25:37.537,16,16
-0.1102831,0.7272493,-0.05604726,2025-01-24 14:25:37.552,16,16
-0.1099864,0.7270811,-0.05761073,2025-01-24 14:25:37.565,16,16
-0.1099496,0.7269593,-0.05874073,2025-01-24 14:25:37.580,16,16
-0.1107902,0.7270429,-0.05884589,2025-01-24 14:25:37.594,16,16
-0.1118154,0.7272837,-0.05919957,2025-01-24 14:25:37.607,16,16
-0.1142229,0.7273585,-0.05840759,2025-01-24 14:25:37.622,16,16
-0.1142066,0.7274817,-0.05990596,2025-01-24 14:25:37.635,16,16
-0.1139542,0.7275432,-0.06112488,2025-01-24 14:25:37.649,16,16
-0.1127573,0.7276833,-0.06239419,2025-01-24 14:25:37.663,16,16
-0.1128702,0.7276276,-0.06232636,2025-01-24 14:25:37.677,16,16
-0.1130985,0.7276089,-0.0617031,2025-01-24 14:25:37.691,16,16
-0.1133806,0.7277254,-0.06124388,2025-01-24 14:25:37.704,16,16
-0.1136588,0.7277706,-0.06139252,2025-01-24 14:25:37.719,16,16
-0.1132898,0.7278039,-0.0612054,2025-01-24 14:25:37.732,16,16
-0.1126177,0.7279103,-0.06135008,2025-01-24 14:25:37.746,16,16
-0.1128247,0.7278497,-0.06099606,2025-01-24 14:25:37.760,16,16
-0.1129434,0.7278882,-0.06034485,2025-01-24 14:25:37.775,16,16
-0.112821,0.7281108,-0.05935241,2025-01-24 14:25:37.788,16,16
-0.1122464,0.7283888,-0.05850318,2025-01-24 14:25:37.802,16,16
-0.1115764,0.7282958,-0.05736274,2025-01-24 14:25:37.816,16,16
-0.1113846,0.7283791,-0.05587585,2025-01-24 14:25:37.830,16,16
-0.1105292,0.7285082,-0.05514437,2025-01-24 14:25:37.843,16,16
-0.109586,0.7285478,-0.05375252,2025-01-24 14:25:37.857,16,16
-0.109173,0.7287257,-0.05282393,2025-01-24 14:25:37.871,16,16
-0.1073066,0.7290425,-0.05053699,2025-01-24 14:25:37.885,16,16
-0.1052585,0.7293948,-0.04626747,2025-01-24 14:25:37.900,16,16
-0.1034343,0.7295246,-0.04315046,2025-01-24 14:25:37.913,16,16
-0.1008222,0.7293422,-0.03972031,2025-01-24 14:25:37.927,16,16
-0.09446905,0.7287208,-0.03265723,2025-01-24 14:25:37.955,16,16
-0.09063777,0.7268369,-0.02738098,2025-01-24 14:25:37.968,16,16
-0.0884158,0.7261382,-0.02284238,2025-01-24 14:25:37.981,16,16
-0.08606119,0.7252396,-0.01795677,2025-01-24 14:25:37.996,16,16
